customer_id,first_name,last_name,age,gender,email,phone,province,city,income_category,employment_status,primary_account,accounts,products,credit_score,tenure_months,join_date
SA010023,Lindsay,Caldwell,48,Male,lindsay.caldwell@gmail.com,+27671397023,Gauteng,Centurion,Lower-Middle (R100k-R350k),Full-time,Investment,"Credit, Investment","Credit Card, Savings Plan",383,222,2005-10-06
SA010024,Jimmy,Holmes,80,Female,jimmy.holmes@yahoo.com,+27655453786,Mpumalanga,Nelspruit,Upper-Middle (R600k-R1.2M),Full-time,Home Loan,Home Loan,"Vehicle Insurance, Life Insurance",850,89,2016-09-08
SA010025,Erin,Lewis,75,Male,erin.lewis@outlook.com,+27814305700,Gauteng,Centurion,Low (<R100k),Self-employed,Savings,Savings,"Investment Portfolio, Overdraft Facility, Home Insurance",494,160,2010-11-09
SA010026,Shawn,Osborne,60,Female,shawn.osborne@gmail.com,+27737361002,Western Cape,George,Middle (R350k-R600k),Full-time,Home Loan,"Cheque, Home Loan",Savings Plan,640,104,2015-06-16
SA010027,Keith,Curtis,47,Female,keith.curtis@outlook.com,+27652422633,KwaZulu-Natal,Pietermaritzburg,Lower-Middle (R100k-R350k),Part-time,Vehicle Finance,Vehicle Finance,Life Insurance,664,24,2022-01-10
SA010028,Brett,Hall,27,Male,brett.hall@gmail.com,+27747953166,Gauteng,Centurion,Middle (R350k-R600k),Part-time,Cheque,"Home Loan, Cheque, Credit",,580,103,2015-07-16
SA010029,Shelly,Woods,66,Male,shelly.woods@outlook.com,+27768793853,Limpopo,Tzaneen,Low (<R100k),Part-time,Cheque,Cheque,"Savings Plan, Credit Card, Life Insurance, Investment Portfolio, Overdraft Facility",377,117,2014-05-22
SA010030,Renee,Kirby,71,Female,renee.kirby@gmail.com,+27865652512,Mpumalanga,Middelburg,Lower-Middle (R100k-R350k),Full-time,Credit,"Home Loan, Credit, Cheque",Savings Plan,380,113,2014-09-19
SA010031,William,Banks,75,Male,william.banks@gmail.com,+27824589533,Gauteng,Pretoria,Lower-Middle (R100k-R350k),Full-time,Credit,Credit,"Credit Card, Overdraft Facility, Investment Portfolio",541,139,2012-07-31
SA010032,Robert,Lawson,78,Male,robert.lawson@gmail.com,+27716009888,North West,Brits,Lower-Middle (R100k-R350k),Full-time,Home Loan,"Credit, Home Loan, Cheque",Credit Card,444,57,2019-04-26
SA010033,Jennifer,Wright,64,Male,jennifer.wright@outlook.com,+27607610562,North West,Potchefstroom,High (>R1.2M),Unemployed,Vehicle Finance,"Vehicle Finance, Savings",Investment Portfolio,726,165,2010-06-12
SA010034,Chad,Anderson,42,Female,chad.anderson@yahoo.com,+27688072684,Gauteng,Soweto,Lower-Middle (R100k-R350k),Full-time,Savings,Savings,"Life Insurance, Savings Plan, Personal Loan, Credit Card",702,5,2023-08-03
SA010035,Patrick,Lee,66,Male,patrick.lee@outlook.com,+27645002120,Mpumalanga,Witbank,Upper-Middle (R600k-R1.2M),Part-time,Vehicle Finance,Vehicle Finance,"Home Insurance, Investment Portfolio, Credit Card",714,145,2012-02-02
SA010036,Tom,White,79,Male,tom.white@gmail.com,+27781430812,Limpopo,Tzaneen,High (>R1.2M),Part-time,Vehicle Finance,"Home Loan, Credit, Vehicle Finance","Vehicle Insurance, Savings Plan",694,51,2019-10-23
SA010037,Laurie,Mason,67,Female,laurie.mason@outlook.com,+27851689025,North West,Brits,Middle (R350k-R600k),Full-time,Credit,Credit,"Overdraft Facility, Personal Loan, Life Insurance",711,18,2022-07-09
SA010038,Kathryn,Bryant,79,Female,kathryn.bryant@yahoo.com,+27659753457,Eastern Cape,Grahamstown,Middle (R350k-R600k),Full-time,Cheque,"Investment, Home Loan, Credit, Cheque","Vehicle Insurance, Home Insurance, Life Insurance",762,212,2006-08-02
SA010039,Michele,Santos,33,Female,michele.santos@yahoo.com,+27876452832,KwaZulu-Natal,Richards Bay,Lower-Middle (R100k-R350k),Full-time,Cheque,Cheque,"Investment Portfolio, Overdraft Facility",425,205,2007-02-28
SA010040,Melissa,Black,18,Male,melissa.black@gmail.com,+27828987516,Gauteng,Centurion,Lower-Middle (R100k-R350k),Full-time,Credit,"Credit, Vehicle Finance",Savings Plan,428,24,2022-01-10
SA010041,Barbara,Clements,48,Female,barbara.clements@outlook.com,+27745545223,KwaZulu-Natal,Ladysmith,Lower-Middle (R100k-R350k),Full-time,Cheque,Cheque,"Home Insurance, Vehicle Insurance",388,185,2008-10-20
SA010042,Melanie,Williams,31,Female,melanie.williams@outlook.com,+27795747930,Western Cape,Worcester,High (>R1.2M),Full-time,Investment,"Cheque, Investment, Vehicle Finance, Credit",Personal Loan,693,78,2017-08-04
SA010043,Kimberly,Ortiz,53,Female,kimberly.ortiz@yahoo.com,+27631205779,Free State,Welkom,Middle (R350k-R600k),Full-time,Vehicle Finance,"Credit, Vehicle Finance","Vehicle Insurance, Credit Card, Personal Loan",553,88,2016-10-08
SA010044,Diane,Harris,43,Female,diane.harris@outlook.com,+27692429098,Gauteng,Johannesburg,Low (<R100k),Full-time,Home Loan,"Savings, Home Loan, Credit, Investment","Credit Card, Home Insurance",565,199,2007-08-27
SA010045,Deborah,Ray,54,Male,deborah.ray@gmail.com,+27804540415,Eastern Cape,Port Elizabeth,High (>R1.2M),Full-time,Savings,Savings,,714,62,2018-11-27
SA010046,Maria,Jordan,46,Female,maria.jordan@yahoo.com,+27828617381,Western Cape,Stellenbosch,Lower-Middle (R100k-R350k),Part-time,Cheque,Cheque,"Credit Card, Personal Loan, Investment Portfolio, Vehicle Insurance",645,202,2007-05-29
SA010047,Kenneth,Mccoy,59,Male,kenneth.mccoy@gmail.com,+27856160869,Mpumalanga,Witbank,Low (<R100k),Full-time,Investment,"Home Loan, Investment","Investment Portfolio, Overdraft Facility",577,32,2021-05-15
SA010048,Nancy,Franklin,52,Female,nancy.franklin@yahoo.com,+27836407658,KwaZulu-Natal,Ladysmith,Low (<R100k),Retired,Savings,"Savings, Vehicle Finance","Investment Portfolio, Overdraft Facility, Personal Loan, Vehicle Insurance, Life Insurance",619,173,2009-10-15
SA010049,David,Berry,51,Female,david.berry@yahoo.com,+27809249789,Mpumalanga,Witbank,High (>R1.2M),Full-time,Vehicle Finance,"Credit, Investment, Vehicle Finance, Cheque","Investment Portfolio, Savings Plan",646,172,2009-11-14
SA010050,April,Moore,78,Female,april.moore@gmail.com,+27705234550,Limpopo,Mokopane,Low (<R100k),Full-time,Credit,Credit,Savings Plan,586,169,2010-02-12
SA010051,Nicolas,Hoover,57,Female,nicolas.hoover@outlook.com,+27645832327,Eastern Cape,Port Elizabeth,Low (<R100k),Self-employed,Vehicle Finance,"Vehicle Finance, Credit","Investment Portfolio, Overdraft Facility, Personal Loan",649,8,2023-05-05
SA010052,Cynthia,Powell,53,Female,cynthia.powell@gmail.com,+27803583206,Gauteng,Johannesburg,Middle (R350k-R600k),Student,Investment,"Vehicle Finance, Investment",Home Insurance,774,107,2015-03-18
SA010053,Darren,Curry,42,Male,darren.curry@gmail.com,+27872171218,Mpumalanga,Ermelo,Middle (R350k-R600k),Full-time,Credit,Credit,,765,240,2004-04-14
SA010054,Richard,Harris,64,Female,richard.harris@yahoo.com,+27873493017,North West,Brits,High (>R1.2M),Full-time,Investment,"Credit, Investment","Life Insurance, Savings Plan, Vehicle Insurance, Investment Portfolio",850,142,2012-05-02
SA010055,Teresa,Roberts,42,Male,teresa.roberts@outlook.com,+27757395997,North West,Mahikeng,Low (<R100k),Full-time,Vehicle Finance,Vehicle Finance,"Vehicle Insurance, Credit Card",300,127,2013-07-26
SA010056,Alyssa,Esparza,72,Female,alyssa.esparza@gmail.com,+27733589751,Gauteng,Centurion,Low (<R100k),Part-time,Investment,Investment,"Credit Card, Home Insurance, Savings Plan",654,160,2010-11-09
SA010057,William,Washington,63,Female,william.washington@gmail.com,+27805821419,North West,Rustenburg,Middle (R350k-R600k),Full-time,Vehicle Finance,"Vehicle Finance, Savings, Credit, Home Loan",,630,114,2014-08-20
SA010058,Melanie,Morris,38,Male,melanie.morris@gmail.com,+27767913081,Western Cape,George,Lower-Middle (R100k-R350k),Part-time,Cheque,"Cheque, Vehicle Finance",Home Insurance,610,21,2022-04-10
SA010059,Wesley,Reyes,32,Female,wesley.reyes@gmail.com,+27888805654,Eastern Cape,Grahamstown,Low (<R100k),Full-time,Vehicle Finance,"Vehicle Finance, Home Loan, Cheque","Investment Portfolio, Life Insurance, Home Insurance, Vehicle Insurance",501,114,2014-08-20
SA010060,Madison,Jenkins,42,Female,madison.jenkins@outlook.com,+27695953150,Gauteng,Centurion,Middle (R350k-R600k),Unemployed,Vehicle Finance,Vehicle Finance,"Personal Loan, Investment Portfolio, Savings Plan",574,71,2018-03-02
SA010061,Jose,Travis,49,Female,jose.travis@yahoo.com,+27674189885,Limpopo,Tzaneen,Lower-Middle (R100k-R350k),Full-time,Vehicle Finance,"Vehicle Finance, Cheque","Personal Loan, Investment Portfolio, Home Insurance",653,232,2004-12-10
SA010062,Alan,Hughes,64,Male,alan.hughes@yahoo.com,+27654368777,Gauteng,Soweto,Lower-Middle (R100k-R350k),Self-employed,Home Loan,Home Loan,Overdraft Facility,540,136,2012-10-29
SA010063,Angela,Lee,79,Female,angela.lee@yahoo.com,+27623361510,Limpopo,Musina,Middle (R350k-R600k),Full-time,Cheque,"Cheque, Credit, Investment",Savings Plan,602,203,2007-04-29
SA010064,Linda,Gray,61,Female,linda.gray@gmail.com,+27751419843,Eastern Cape,Mthatha,Low (<R100k),Self-employed,Home Loan,"Home Loan, Investment","Investment Portfolio, Savings Plan, Life Insurance, Personal Loan",363,166,2010-05-13
SA010065,Victoria,Case,26,Male,victoria.case@gmail.com,+27634939290,Mpumalanga,Secunda,High (>R1.2M),Retired,Credit,"Cheque, Credit, Home Loan","Home Insurance, Life Insurance",850,172,2009-11-14
SA010066,Brandon,Harrington,59,Male,brandon.harrington@yahoo.com,+27617216461,North West,Brits,Lower-Middle (R100k-R350k),Student,Credit,Credit,Savings Plan,447,219,2006-01-04
SA010067,Angela,Yang,21,Female,angela.yang@yahoo.com,+27624558545,Western Cape,Cape Town,High (>R1.2M),Student,Home Loan,"Home Loan, Savings","Life Insurance, Personal Loan, Investment Portfolio",716,202,2007-05-29
SA010068,Julie,Blake,31,Male,julie.blake@gmail.com,+27851047572,Limpopo,Tzaneen,Lower-Middle (R100k-R350k),Full-time,Cheque,Cheque,"Home Insurance, Personal Loan, Overdraft Facility",400,139,2012-07-31
SA010069,Jacob,Mclaughlin,68,Male,jacob.mclaughlin@gmail.com,+27648062546,Eastern Cape,Port Elizabeth,Low (<R100k),Full-time,Savings,"Vehicle Finance, Savings",Life Insurance,694,115,2014-07-21
SA010070,Jason,Owens,78,Male,jason.owens@outlook.com,+27602020480,Free State,Parys,Lower-Middle (R100k-R350k),Part-time,Cheque,"Credit, Vehicle Finance, Savings, Cheque",,332,19,2022-06-09
SA010071,Hayley,Krause,35,Female,hayley.krause@yahoo.com,+27768217547,KwaZulu-Natal,Ladysmith,Lower-Middle (R100k-R350k),Unemployed,Vehicle Finance,Vehicle Finance,"Life Insurance, Overdraft Facility",668,219,2006-01-04
SA010072,Ronald,Woodard,46,Male,ronald.woodard@outlook.com,+27636243691,KwaZulu-Natal,Richards Bay,Lower-Middle (R100k-R350k),Full-time,Investment,"Vehicle Finance, Investment","Vehicle Insurance, Life Insurance, Personal Loan",661,40,2020-09-17
SA010073,Erik,Martinez,65,Female,erik.martinez@outlook.com,+27776530541,Limpopo,Mokopane,Low (<R100k),Retired,Investment,"Credit, Investment","Savings Plan, Personal Loan",625,223,2005-09-06
SA010074,Roger,French,54,Male,roger.french@gmail.com,+27717166651,Gauteng,Centurion,Lower-Middle (R100k-R350k),Student,Investment,Investment,"Personal Loan, Investment Portfolio, Savings Plan",540,207,2006-12-30
SA010075,Elizabeth,Pollard,71,Female,elizabeth.pollard@yahoo.com,+27896701311,Gauteng,Soweto,Upper-Middle (R600k-R1.2M),Full-time,Cheque,Cheque,"Personal Loan, Overdraft Facility, Savings Plan",819,145,2012-02-02
SA010076,Amy,Ortiz,51,Male,amy.ortiz@yahoo.com,+27696442241,Western Cape,Paarl,Lower-Middle (R100k-R350k),Part-time,Home Loan,"Home Loan, Vehicle Finance, Savings","Investment Portfolio, Life Insurance",426,40,2020-09-17
SA010077,Thomas,Stout,60,Female,thomas.stout@gmail.com,+27849595744,KwaZulu-Natal,Richards Bay,Lower-Middle (R100k-R350k),Full-time,Credit,Credit,"Investment Portfolio, Personal Loan",683,73,2018-01-01
SA010078,Michael,Maxwell,32,Female,michael.maxwell@yahoo.com,+27663302417,Northern Cape,Kimberley,Low (<R100k),Full-time,Investment,"Investment, Vehicle Finance, Savings",Life Insurance,687,128,2013-06-26
SA010079,Amber,Garcia,50,Female,amber.garcia@yahoo.com,+27892306317,Gauteng,Johannesburg,Lower-Middle (R100k-R350k),Full-time,Vehicle Finance,"Home Loan, Credit, Vehicle Finance",,500,164,2010-07-12
SA010080,Edward,Charles,38,Male,edward.charles@outlook.com,+27897070880,Limpopo,Mokopane,Lower-Middle (R100k-R350k),Full-time,Savings,Savings,Investment Portfolio,602,112,2014-10-19
SA010081,Theresa,Cantrell,65,Female,theresa.cantrell@outlook.com,+27639902071,Gauteng,Pretoria,Low (<R100k),Full-time,Investment,"Investment, Vehicle Finance",Home Insurance,320,61,2018-12-27
SA010082,Douglas,Reed,66,Male,douglas.reed@outlook.com,+27848531380,Gauteng,Centurion,Middle (R350k-R600k),Full-time,Vehicle Finance,"Home Loan, Vehicle Finance","Overdraft Facility, Life Insurance",828,222,2005-10-06
SA010083,Brent,Guerrero,58,Female,brent.guerrero@outlook.com,+27626207779,Limpopo,Mokopane,Low (<R100k),Part-time,Vehicle Finance,"Savings, Vehicle Finance","Vehicle Insurance, Investment Portfolio, Credit Card, Savings Plan, Life Insurance",405,213,2006-07-03
SA010084,Paige,Acosta,47,Male,paige.acosta@yahoo.com,+27798979730,KwaZulu-Natal,Ladysmith,Middle (R350k-R600k),Student,Savings,"Savings, Credit",,773,208,2006-11-30
SA010085,Laura,Harper,59,Male,laura.harper@outlook.com,+27763663319,Gauteng,Centurion,High (>R1.2M),Part-time,Investment,Investment,,841,105,2015-05-17
SA010086,Debbie,Huynh,58,Female,debbie.huynh@yahoo.com,+27695227787,Gauteng,Johannesburg,Middle (R350k-R600k),Part-time,Vehicle Finance,"Vehicle Finance, Home Loan","Investment Portfolio, Savings Plan, Credit Card, Life Insurance",594,86,2016-12-07
SA010087,Alyssa,Horne,26,Male,alyssa.horne@yahoo.com,+27863144023,Western Cape,Paarl,Middle (R350k-R600k),Full-time,Vehicle Finance,"Vehicle Finance, Home Loan",,725,166,2010-05-13
SA010088,Lindsey,Lewis,37,Male,lindsey.lewis@yahoo.com,+27664800761,Mpumalanga,Secunda,Upper-Middle (R600k-R1.2M),Part-time,Cheque,"Cheque, Savings, Investment, Home Loan","Home Insurance, Vehicle Insurance",784,170,2010-01-13
SA010089,Jonathan,Clark,29,Male,jonathan.clark@outlook.com,+27834985095,Free State,Bloemfontein,Lower-Middle (R100k-R350k),Full-time,Investment,"Home Loan, Investment, Credit, Savings","Overdraft Facility, Life Insurance, Home Insurance, Credit Card",514,80,2017-06-05
SA010090,George,Moss,50,Female,george.moss@gmail.com,+27875194357,Mpumalanga,Witbank,Middle (R350k-R600k),Self-employed,Credit,Credit,"Vehicle Insurance, Home Insurance",752,142,2012-05-02
SA010091,Jasmine,Martinez,23,Male,jasmine.martinez@yahoo.com,+27624725179,Western Cape,Worcester,Low (<R100k),Full-time,Investment,"Investment, Savings, Credit","Savings Plan, Vehicle Insurance, Personal Loan, Home Insurance, Overdraft Facility",554,102,2015-08-15
SA010092,Denise,Perez,71,Female,denise.perez@yahoo.com,+27823328554,Limpopo,Tzaneen,Low (<R100k),Self-employed,Credit,"Credit, Vehicle Finance, Savings","Credit Card, Personal Loan",408,5,2023-08-03
SA010093,Lauren,Vargas,67,Female,lauren.vargas@yahoo.com,+27808669093,Gauteng,Johannesburg,Low (<R100k),Full-time,Credit,Credit,Credit Card,586,162,2010-09-10
SA010094,Gina,Nguyen,18,Female,gina.nguyen@outlook.com,+27629782613,Gauteng,Centurion,Low (<R100k),Student,Cheque,"Savings, Home Loan, Vehicle Finance, Cheque",Personal Loan,624,12,2023-01-05
SA010095,Sarah,Daniels,40,Male,sarah.daniels@outlook.com,+27846578736,Western Cape,Cape Town,Upper-Middle (R600k-R1.2M),Self-employed,Investment,Investment,"Overdraft Facility, Savings Plan",786,209,2006-10-31
SA010096,Julie,Duffy,29,Male,julie.duffy@gmail.com,+27614346548,Gauteng,Centurion,Low (<R100k),Self-employed,Credit,"Investment, Vehicle Finance, Credit",Savings Plan,383,122,2013-12-23
SA010097,Stephanie,Hughes,73,Male,stephanie.hughes@yahoo.com,+27737711251,North West,Klerksdorp,Lower-Middle (R100k-R350k),Full-time,Credit,"Credit, Investment","Investment Portfolio, Credit Card, Personal Loan",667,128,2013-06-26
SA010098,Terri,Matthews,64,Female,terri.matthews@gmail.com,+27775928582,Gauteng,Benoni,High (>R1.2M),Full-time,Savings,Savings,"Home Insurance, Savings Plan, Life Insurance",714,170,2010-01-13
SA010099,Joseph,Byrd,40,Female,joseph.byrd@yahoo.com,+27681962308,Gauteng,Soweto,Middle (R350k-R600k),Part-time,Vehicle Finance,Vehicle Finance,"Home Insurance, Credit Card, Investment Portfolio, Life Insurance",726,94,2016-04-11
SA010100,Karen,Thompson,20,Male,karen.thompson@outlook.com,+27613574265,Gauteng,Soweto,Lower-Middle (R100k-R350k),Full-time,Vehicle Finance,"Investment, Vehicle Finance",Savings Plan,362,196,2007-11-25
SA010101,Kristine,Hernandez,59,Female,kristine.hernandez@gmail.com,+27759686324,Gauteng,Johannesburg,Low (<R100k),Self-employed,Home Loan,Home Loan,Investment Portfolio,679,68,2018-05-31
SA010102,Jessica,Turner,62,Female,jessica.turner@yahoo.com,+27658467726,Gauteng,Pretoria,Upper-Middle (R600k-R1.2M),Unemployed,Vehicle Finance,"Vehicle Finance, Investment, Home Loan, Credit","Home Insurance, Credit Card, Overdraft Facility",775,141,2012-06-01
SA010103,Justin,Morse,50,Male,justin.morse@gmail.com,+27859288312,Gauteng,Pretoria,Upper-Middle (R600k-R1.2M),Part-time,Home Loan,Home Loan,,757,120,2014-02-21
SA010104,Alexandra,Diaz,37,Female,alexandra.diaz@yahoo.com,+27862237331,Northern Cape,Springbok,Lower-Middle (R100k-R350k),Full-time,Investment,Investment,Home Insurance,575,116,2014-06-21
SA010105,Angela,Andrews,67,Male,angela.andrews@outlook.com,+27646102363,KwaZulu-Natal,Durban,Upper-Middle (R600k-R1.2M),Self-employed,Investment,Investment,Investment Portfolio,768,89,2016-09-08
SA010106,Alison,Garcia,26,Female,alison.garcia@gmail.com,+27783586950,Eastern Cape,Port Elizabeth,Lower-Middle (R100k-R350k),Self-employed,Home Loan,Home Loan,,543,216,2006-04-04
SA010107,Brian,Sampson,20,Female,brian.sampson@outlook.com,+27609355692,Eastern Cape,Queenstown,Low (<R100k),Full-time,Investment,"Home Loan, Investment, Vehicle Finance",,651,63,2018-10-28
SA010108,Lisa,Farley,21,Male,lisa.farley@yahoo.com,+27793410360,KwaZulu-Natal,Richards Bay,Lower-Middle (R100k-R350k),Full-time,Vehicle Finance,Vehicle Finance,Vehicle Insurance,477,188,2008-07-22
SA010109,Diana,Smith,38,Male,diana.smith@gmail.com,+27631849015,KwaZulu-Natal,Newcastle,Lower-Middle (R100k-R350k),Retired,Credit,Credit,"Life Insurance, Credit Card, Vehicle Insurance",372,64,2018-09-28
SA010110,Richard,Burton,49,Female,richard.burton@gmail.com,+27729479950,KwaZulu-Natal,Newcastle,Lower-Middle (R100k-R350k),Full-time,Vehicle Finance,"Cheque, Vehicle Finance","Overdraft Facility, Home Insurance, Investment Portfolio",311,13,2022-12-06
SA010111,Heather,Guerrero,18,Male,heather.guerrero@yahoo.com,+27711759041,KwaZulu-Natal,Newcastle,Middle (R350k-R600k),Full-time,Home Loan,"Home Loan, Vehicle Finance","Investment Portfolio, Credit Card",677,93,2016-05-11
SA010112,Michelle,Medina,57,Male,michelle.medina@yahoo.com,+27777133857,Gauteng,Johannesburg,Lower-Middle (R100k-R350k),Full-time,Credit,"Cheque, Home Loan, Credit",Overdraft Facility,300,11,2023-02-04
SA010113,Kelsey,Burnett,51,Female,kelsey.burnett@outlook.com,+27703726331,Gauteng,Benoni,Low (<R100k),Self-employed,Home Loan,Home Loan,"Investment Portfolio, Life Insurance",486,152,2011-07-07
SA010114,Joseph,Barton,70,Male,joseph.barton@outlook.com,+27691447065,Western Cape,Cape Town,High (>R1.2M),Full-time,Investment,"Investment, Home Loan","Credit Card, Vehicle Insurance",687,185,2008-10-20
SA010115,Chelsea,Miller,70,Male,chelsea.miller@yahoo.com,+27708025967,Gauteng,Johannesburg,Lower-Middle (R100k-R350k),Part-time,Vehicle Finance,Vehicle Finance,"Personal Loan, Savings Plan",605,106,2015-04-17
SA010116,Todd,Johnson,26,Male,todd.johnson@yahoo.com,+27658711874,KwaZulu-Natal,Richards Bay,Lower-Middle (R100k-R350k),Part-time,Vehicle Finance,"Investment, Home Loan, Vehicle Finance","Overdraft Facility, Vehicle Insurance",706,198,2007-09-26
SA010117,Gary,Stevenson,79,Male,gary.stevenson@yahoo.com,+27845848684,Western Cape,George,Lower-Middle (R100k-R350k),Retired,Credit,"Vehicle Finance, Credit","Investment Portfolio, Home Insurance, Personal Loan",499,123,2013-11-23
SA010118,Erica,Howell,54,Female,erica.howell@gmail.com,+27691705758,Mpumalanga,Middelburg,Upper-Middle (R600k-R1.2M),Full-time,Vehicle Finance,Vehicle Finance,"Life Insurance, Credit Card",796,89,2016-09-08
SA010119,Lisa,Gardner,52,Female,lisa.gardner@outlook.com,+27835014486,Mpumalanga,Secunda,Low (<R100k),Full-time,Vehicle Finance,Vehicle Finance,Overdraft Facility,375,164,2010-07-12
SA010120,Robert,Estrada,24,Male,robert.estrada@gmail.com,+27738980915,Gauteng,Benoni,High (>R1.2M),Retired,Investment,"Cheque, Investment",,772,74,2017-12-02
SA010121,Norman,Roberts,54,Male,norman.roberts@gmail.com,+27733949245,KwaZulu-Natal,Durban,Upper-Middle (R600k-R1.2M),Unemployed,Savings,"Savings, Credit, Home Loan",,828,240,2004-04-14
SA010122,Jill,Ferrell,54,Male,jill.ferrell@outlook.com,+27779796605,Mpumalanga,Secunda,Lower-Middle (R100k-R350k),Full-time,Home Loan,"Cheque, Home Loan","Investment Portfolio, Savings Plan, Vehicle Insurance",362,70,2018-04-01
